Year,Country,Bronze,Gold,Silver,Total,Season
1996,INA,3,2,1,6,Summer
1996,IND,1,,,1,Summer
1996,IRI,1,1,1,3,Summer
1996,IRL,1,3,,4,Summer
1996,ISR,1,,,1,Summer
1996,ITA,28,19,24,71,Summer
1996,JAM,12,1,3,16,Summer
1996,JPN,14,3,26,43,Summer
1996,KAZ,4,3,4,11,Summer
1996,KEN,3,1,4,8,Summer
1996,KOR,7,10,49,66,Summer
1996,LAT,,,1,1,Summer
1996,LTU,12,,,12,Summer
1996,MAS,1,,2,3,Summer
1996,MDA,1,,2,3,Summer
1996,MEX,1,,,1,Summer
1996,MGL,1,,,1,Summer
1996,MOZ,1,,,1,Summer
1996,NAM,,,2,2,Summer
1996,NED,26,38,9,73,Summer
1996,NGR,3,19,4,26,Summer
1996,NOR,20,2,3,25,Summer
1996,NZL,4,3,2,9,Summer
1996,PHI,,,1,1,Summer
1996,POL,7,7,7,21,Summer
1996,POR,2,1,,3,Summer
1996,PRK,2,2,1,5,Summer
1996,PUR,1,,,1,Summer
1996,ROU,15,13,10,38,Summer
1996,RSA,1,3,1,5,Summer
1996,RUS,34,36,45,115,Summer
1996,SLO,,,2,2,Summer
1996,SUI,,5,6,11,Summer
1996,SVK,1,1,1,3,Summer
1996,SWE,5,3,23,31,Summer
1996,SYR,,1,,1,Summer
1996,TGA,,,1,1,Summer
1996,THA,1,1,,2,Summer
1996,TPE,,,1,1,Summer
1996,TRI,2,,,2,Summer
1996,TUN,1,,,1,Summer
1996,TUR,1,4,1,6,Summer
1996,UGA,1,,,1,Summer
1996,UKR,19,10,5,34,Summer
1996,USA,52,160,48,260,Summer
1996,UZB,1,,1,2,Summer
1996,YUG,13,1,12,26,Summer
1996,ZAM,,,1,1,Summer
2000,MAR,4,,1,5,Summer
2000,ALG,3,1,1,5,Summer
2000,ARG,3,,17,20,Summer
2000,ARM,1,,,1,Summer
2000,AUS,54,60,69,183,Summer
2000,AUT,,3,1,4,Summer
2000,AZE,1,2,,3,Summer
2000,BAH,,6,,6,Summer
2000,BAR,1,,,1,Summer
2000,BEL,4,,3,7,Summer
2000,BLR,11,3,8,22,Summer
2000,BRA,36,,12,48,Summer
2000,BUL,2,5,6,13,Summer
2000,CAN,23,4,4,31,Summer
2000,CHI,18,,,18,Summer
2000,CHN,17,39,23,79,Summer
2000,CMR,,18,,18,Summer
2000,COL,,1,,1,Summer
2000,CRC,2,,,2,Summer
2000,CRO,9,1,,10,Summer
2000,CUB,12,22,35,69,Summer
2000,CZE,4,2,3,9,Summer
2000,DEN,4,18,3,25,Summer
2000,ESP,20,3,20,43,Summer
2000,EST,2,1,,3,Summer
2000,ETH,3,4,1,8,Summer
2000,FIN,1,3,1,5,Summer
2000,FRA,14,22,30,66,Summer
2000,GBR,13,22,20,55,Summer
2000,GEO,6,,,6,Summer
2000,GER,65,31,23,119,Summer
2000,GRE,8,4,6,18,Summer
2000,HUN,4,25,24,53,Summer
2000,INA,2,2,4,8,Summer
2000,IND,1,,,1,Summer
2000,IRI,1,3,,4,Summer
2000,IRL,,,1,1,Summer
2000,ISL,1,,,1,Summer
2000,ISR,1,,,1,Summer
2000,ITA,29,22,14,65,Summer
2000,JAM,9,,14,23,Summer
2000,JPN,8,5,30,43,Summer
2000,KAZ,,3,4,7,Summer
2000,KEN,2,2,3,7,Summer
2000,KGZ,1,,,1,Summer
2000,KOR,35,12,26,73,Summer
2000,KSA,1,,1,2,Summer
2000,KUW,1,,,1,Summer
2000,LAT,1,1,1,3,Summer
2000,LTU,15,2,,17,Summer
2000,MDA,1,,1,2,Summer
2000,MEX,3,1,2,6,Summer
2000,MKD,1,,,1,Summer
2000,MOZ,,1,,1,Summer
2000,NED,23,27,29,79,Summer
2000,NGR,,,8,8,Summer
2000,NOR,19,21,4,44,Summer
2000,NZL,3,1,,4,Summer
2000,POL,7,7,10,24,Summer
2000,POR,2,,,2,Summer
2000,PRK,3,,1,4,Summer
2000,QAT,1,,,1,Summer
2000,ROU,13,27,6,46,Summer
2000,RSA,3,,2,5,Summer
2000,RUS,54,66,68,188,Summer
2000,SLO,,3,,3,Summer
2000,SRI,,,1,1,Summer
2000,SUI,2,1,11,14,Summer
2000,SVK,1,2,3,6,Summer
2000,SWE,8,4,20,32,Summer
2000,THA,2,1,,3,Summer
2000,TPE,4,,1,5,Summer
2000,TRI,1,,1,2,Summer
2000,TUR,2,3,,5,Summer
2000,UKR,12,3,20,35,Summer
2000,URU,,,1,1,Summer
2000,USA,52,130,66,248,Summer
2000,UZB,2,1,1,4,Summer
2000,VIE,,,1,1,Summer
2000,YUG,13,12,1,26,Summer
2004,MAR,,2,1,3,Summer
2004,ARG,21,26,,47,Summer
2004,AUS,30,49,78,157,Summer
2004,AUT,1,3,4,8,Summer
2004,AZE,4,1,,5,Summer
2004,BAH,1,1,,2,Summer
2004,BEL,2,1,,3,Summer
2004,BLR,9,2,6,17,Summer
2004,BRA,3,18,19,40,Summer
2004,BUL,14,2,1,17,Summer
2004,CAN,4,3,10,17,Summer
2004,CHI,1,3,,4,Summer
2004,CHN,15,52,27,94,Summer
2004,CMR,,1,,1,Summer
2004,COL,2,,,2,Summer
2004,CRO,3,14,3,20,Summer
2004,CUB,22,31,8,61,Summer
2004,CZE,5,1,6,12,Summer
2004,DEN,10,19,,29,Summer
2004,DOM,,1,,1,Summer
2004,EGY,3,1,1,5,Summer
2004,ERI,1,,,1,Summer
2004,ESP,8,4,15,27,Summer
2004,EST,2,,1,3,Summer
2004,ETH,2,2,3,7,Summer
2004,FIN,,,2,2,Summer
2004,FRA,22,21,10,53,Summer
2004,GBR,15,17,25,57,Summer
2004,GEO,,2,2,4,Summer
2004,GER,63,41,45,149,Summer
2004,GRE,5,8,18,31,Summer
2004,HKG,,,2,2,Summer
2004,HUN,4,24,12,40,Summer
2004,INA,3,1,1,5,Summer
2004,IND,,,1,1,Summer
2004,IRI,2,2,2,6,Summer
2004,ISR,1,1,,2,Summer
2004,ITA,39,24,39,102,Summer
2004,JAM,6,6,1,13,Summer
2004,JPN,53,21,20,94,Summer
2004,KAZ,3,1,4,8,Summer
2004,KEN,2,1,4,7,Summer
2004,KOR,10,14,28,52,Summer
2004,LAT,,,4,4,Summer
2004,LTU,,1,2,3,Summer
2004,MEX,1,,3,4,Summer
2004,MGL,1,,,1,Summer
2004,NED,22,4,50,76,Summer
2004,NGR,8,,,8,Summer
2004,NOR,2,5,,7,Summer
2004,NZL,,4,2,6,Summer
2004,PAR,,,17,17,Summer
2004,POL,6,4,2,12,Summer
2004,POR,1,,2,3,Summer
2004,PRK,1,,4,5,Summer
2004,ROU,11,23,5,39,Summer
2004,RSA,3,4,3,10,Summer
2004,RUS,96,47,49,192,Summer
2004,SCG,,,14,14,Summer
2004,SLO,3,,2,5,Summer
2004,SUI,4,1,2,7,Summer
2004,SVK,5,3,2,10,Summer
2004,SWE,2,5,5,12,Summer
2004,SYR,1,,,1,Summer
2004,THA,4,3,1,8,Summer
2004,TPE,3,2,4,9,Summer
2004,TRI,1,,,1,Summer
2004,TUR,4,3,3,10,Summer
2004,UAE,,1,,1,Summer
2004,UKR,31,9,8,48,Summer
2004,USA,73,116,75,264,Summer
2004,UZB,2,2,1,5,Summer
2004,VEN,2,,,2,Summer
2004,ZIM,1,1,1,3,Summer
2008,MAR,1,,1,2,Summer
2008,AFG,1,,,1,Summer
2008,ALG,1,,1,2,Summer
2008,ARG,31,20,,51,Summer
2008,ARM,6,,,6,Summer
2008,AUS,76,31,42,149,Summer
2008,AUT,2,,1,3,Summer
2008,AZE,4,1,2,7,Summer
2008,BAH,1,,4,5,Summer
2008,BEL,,1,4,5,Summer
2008,BLR,17,8,5,30,Summer
2008,BRA,27,14,34,75,Summer
2008,BUL,3,1,1,5,Summer
2008,CAN,10,11,13,34,Summer
2008,CHI,,,1,1,Summer
2008,CHN,57,74,53,184,Summer
2008,CMR,,1,,1,Summer
2008,COL,1,,1,2,Summer
2008,CRO,3,,2,5,Summer
2008,CUB,11,2,34,47,Summer
2008,CZE,,3,4,7,Summer
2008,DEN,6,6,6,18,Summer
2008,DOM,,1,1,2,Summer
2008,ECU,,,1,1,Summer
2008,EGY,1,,,1,Summer
2008,ESP,16,7,48,71,Summer
2008,EST,,1,2,3,Summer
2008,ETH,2,4,1,7,Summer
2008,FIN,2,1,2,5,Summer
2008,FRA,28,25,23,76,Summer
2008,GBR,21,31,25,77,Summer
2008,GEO,3,3,,6,Summer
2008,GER,43,43,16,102,Summer
2008,GRE,4,,3,7,Summer
2008,HUN,3,16,8,27,Summer
2008,INA,3,2,2,7,Summer
2008,IND,2,1,,3,Summer
2008,IRI,1,1,,2,Summer
2008,IRL,2,,1,3,Summer
2008,ISL,,,14,14,Summer
2008,ISR,1,,,1,Summer
2008,ITA,20,8,14,42,Summer
2008,JAM,5,9,3,17,Summer
2008,JPN,17,23,11,51,Summer
2008,KAZ,7,2,4,13,Summer
2008,KEN,4,6,4,14,Summer
2008,KGZ,1,,1,2,Summer
2008,KOR,26,41,11,78,Summer
2008,LAT,1,1,1,3,Summer
2008,LTU,3,,2,5,Summer
2008,MAS,,,1,1,Summer
2008,MDA,1,,,1,Summer
2008,MEX,2,2,,4,Summer
2008,MGL,,2,2,4,Summer
2008,MRI,1,,,1,Summer
2008,NED,4,40,18,62,Summer
2008,NGR,6,,18,24,Summer
2008,NOR,1,16,5,22,Summer
2008,NZL,8,4,2,14,Summer
2008,PAN,,1,,1,Summer
2008,POL,1,6,13,20,Summer
2008,POR,,1,1,2,Summer
2008,PRK,3,2,1,6,Summer
2008,ROU,16,5,1,22,Summer
2008,RSA,,,1,1,Summer
2008,RUS,56,43,44,143,Summer
2008,SIN,,,3,3,Summer
2008,SLO,2,1,2,5,Summer
2008,SRB,14,,1,15,Summer
2008,SUD,,,1,1,Summer
2008,SUI,8,3,,11,Summer
2008,SVK,1,4,5,10,Summer
2008,SWE,2,,5,7,Summer
2008,THA,,2,2,4,Summer
2008,TJK,1,,1,2,Summer
2008,TOG,1,,,1,Summer
2008,TPE,4,,,4,Summer
2008,TRI,,,5,5,Summer
2008,TUN,,1,,1,Summer
2008,TUR,3,1,4,8,Summer
2008,UKR,16,10,5,31,Summer
2008,USA,81,127,109,317,Summer
2008,UZB,3,1,2,6,Summer
2008,VEN,1,,,1,Summer
2008,VIE,,,1,1,Summer
2008,ZIM,,1,3,4,Summer
1924,AUT,,2,1,3,Winter
1924,BEL,1,,,1,Winter
1924,CAN,,1,,1,Winter
1924,FIN,3,4,4,11,Winter
1924,FRA,2,,,2,Winter
1924,GBR,2,,1,3,Winter
1924,NOR,6,4,7,17,Winter
1924,SUI,1,2,,3,Winter
1924,SWE,,1,,1,Winter
1924,USA,1,1,2,4,Winter
1928,AUT,1,,3,4,Winter
1928,BEL,1,,,1,Winter
1928,CAN,,1,,1,Winter
1928,FIN,1,2,1,4,Winter
1928,FRA,,1,,1,Winter
1928,GBR,1,,,1,Winter
1928,GER,1,,,1,Winter
1928,NOR,5,6,4,15,Winter
1928,SUI,1,,,1,Winter
1928,SWE,1,2,2,5,Winter
1928,TCH,1,,,1,Winter
1928,USA,2,2,2,6,Winter
1932,AUT,,1,1,2,Winter
1932,CAN,5,1,1,7,Winter
1932,FIN,1,1,1,3,Winter
1932,FRA,,1,,1,Winter
1932,GER,2,,,2,Winter
1932,HUN,1,,,1,Winter
1932,NOR,3,3,4,10,Winter
1932,SUI,,,1,1,Winter
1932,SWE,,1,2,3,Winter
1932,USA,2,6,4,12,Winter
1936,AUT,2,1,1,4,Winter
1936,CAN,,,1,1,Winter
1936,FIN,3,1,2,6,Winter
1936,FRA,1,,,1,Winter
1936,GBR,1,1,1,3,Winter
1936,GER,,3,3,6,Winter
1936,HUN,1,,,1,Winter
1936,NOR,3,7,5,15,Winter
1936,SUI,,1,3,4,Winter
1936,SWE,3,2,2,7,Winter
1936,USA,4,2,,6,Winter
1948,AUT,4,1,3,8,Winter
1948,BEL,,1,1,2,Winter
1948,CAN,1,10,,11,Winter
1948,FIN,2,1,3,6,Winter
1948,FRA,2,2,1,5,Winter
1948,GBR,2,,,2,Winter
1948,HUN,,,1,1,Winter
1948,ITA,,1,,1,Winter
1948,NOR,3,4,3,10,Winter
1948,SUI,11,3,4,18,Winter
1948,SWE,3,4,3,10,Winter
1948,TCH,,,9,9,Winter
1948,USA,2,3,4,9,Winter
1952,AUT,2,2,4,8,Winter
1952,CAN,1,1,,2,Winter
1952,FIN,2,3,4,9,Winter
1952,FRA,1,,,1,Winter
1952,FRG,,3,,3,Winter
1952,GBR,,1,,1,Winter
1952,GER,2,1,2,5,Winter
1952,HUN,1,,,1,Winter
1952,ITA,1,1,,2,Winter
1952,NED,,,3,3,Winter
1952,NOR,6,7,3,16,Winter
1952,SUI,3,,,3,Winter
1952,SWE,4,,,4,Winter
1952,USA,1,4,7,12,Winter
1956,AUT,4,4,3,11,Winter
1956,CAN,2,,2,4,Winter
1956,EUA,1,1,,2,Winter
1956,FIN,1,3,6,10,Winter
1956,HUN,1,,,1,Winter
1956,ITA,,2,3,5,Winter
1956,JPN,,,1,1,Winter
1956,NOR,1,2,1,4,Winter
1956,POL,1,,,1,Winter
1956,SUI,2,3,2,7,Winter
1956,SWE,7,2,4,13,Winter
1956,URS,6,10,3,19,Winter
1956,USA,2,2,3,7,Winter
1960,AUT,3,1,2,6,Winter
1960,CAN,1,2,1,4,Winter
1960,EUA,1,4,3,8,Winter
1960,FIN,3,5,3,11,Winter
1960,FRA,2,1,,3,Winter
1960,ITA,1,,,1,Winter
1960,NED,1,,1,2,Winter
1960,NOR,,3,6,9,Winter
1960,POL,1,,1,2,Winter
1960,SUI,,2,,2,Winter
1960,SWE,2,3,2,7,Winter
1960,TCH,,,1,1,Winter
1960,URS,12,7,5,24,Winter
1960,USA,4,3,4,11,Winter
1964,AUT,3,4,6,13,Winter
1964,CAN,2,1,,3,Winter
1964,EUA,3,3,3,9,Winter
1964,FIN,3,3,7,13,Winter
1964,FRA,,3,4,7,Winter
1964,GBR,,2,,2,Winter
1964,ITA,4,,2,6,Winter
1964,NED,,1,1,2,Winter
1964,NOR,6,3,6,15,Winter
1964,PRK,,,1,1,Winter
1964,SWE,1,6,3,10,Winter
1964,TCH,1,,,1,Winter
1964,URS,9,11,8,28,Winter
1964,USA,3,1,2,6,Winter
1968,AUT,4,3,7,14,Winter
1968,CAN,9,1,1,11,Winter
1968,FIN,5,1,2,8,Winter
1968,FRA,2,4,3,9,Winter
1968,FRG,3,2,2,7,Winter
1968,GDR,2,1,2,5,Winter
1968,ITA,,5,,5,Winter
1968,NED,3,3,3,9,Winter
1968,NOR,2,9,6,17,Winter
1968,ROU,1,,,1,Winter
1968,SUI,7,,2,9,Winter
1968,SWE,3,3,5,11,Winter
1968,TCH,1,1,10,12,Winter
1968,URS,3,5,6,14,Winter
1968,USA,1,1,5,7,Winter
1972,AUT,2,1,2,5,Winter
1972,CAN,,,1,1,Winter
1972,ESP,,1,,1,Winter
1972,FIN,1,,4,5,Winter
1972,FRA,2,,1,3,Winter
1972,FRG,4,4,,8,Winter
1972,GDR,9,5,3,17,Winter
1972,ITA,1,3,5,9,Winter
1972,JPN,1,1,1,3,Winter
1972,NED,2,4,3,9,Winter
1972,NOR,5,2,8,15,Winter
1972,POL,,1,,1,Winter
1972,SUI,6,7,3,16,Winter
1972,SWE,2,1,1,4,Winter
1972,TCH,10,1,,11,Winter
1972,URS,3,11,5,19,Winter
1972,USA,3,3,2,8,Winter
1976,AUT,3,2,2,7,Winter
1976,CAN,1,1,1,3,Winter
1976,FIN,1,2,7,10,Winter
1976,FRA,1,,,1,Winter
1976,FRG,6,2,6,14,Winter
1976,GBR,,1,,1,Winter
1976,GDR,10,9,5,24,Winter
1976,ITA,1,1,2,4,Winter
1976,LIE,2,,,2,Winter
1976,NED,3,1,2,6,Winter
1976,NOR,1,3,3,7,Winter
1976,SUI,2,1,6,9,Winter
1976,SWE,2,,,2,Winter
1976,TCH,,,9,9,Winter
1976,URS,8,16,7,31,Winter
1976,USA,4,3,3,10,Winter
1980,AUT,2,3,2,7,Winter
1980,BUL,1,,,1,Winter
1980,CAN,1,,1,2,Winter
1980,FIN,3,1,5,9,Winter
1980,FRA,1,,,1,Winter
1980,FRG,3,,2,5,Winter
1980,GBR,,1,,1,Winter
1980,GDR,11,15,8,34,Winter
1980,HUN,,,2,2,Winter
1980,ITA,,,2,2,Winter
1980,JPN,,,1,1,Winter
1980,LIE,,2,2,4,Winter
1980,NED,1,1,2,4,Winter
1980,NOR,9,1,3,13,Winter
1980,SUI,3,2,4,9,Winter
1980,SWE,9,3,,12,Winter
1980,TCH,1,,,1,Winter
1980,URS,6,10,19,35,Winter
1980,USA,2,6,4,12,Winter
1984,AUT,1,,,1,Winter
1984,CAN,1,2,1,4,Winter
1984,FIN,9,4,3,16,Winter
1984,FRA,2,,1,3,Winter
1984,FRG,1,3,1,5,Winter
1984,GBR,,1,,1,Winter
1984,GDR,6,13,12,31,Winter
1984,ITA,,2,,2,Winter
1984,JPN,,,1,1,Winter
1984,LIE,2,,,2,Winter
1984,NOR,4,6,2,12,Winter
1984,SUI,4,2,2,8,Winter
1984,SWE,10,4,2,16,Winter
1984,TCH,4,,13,17,Winter
1984,URS,9,6,10,25,Winter
1984,USA,,4,5,9,Winter
1984,YUG,,,1,1,Winter
1988,AUT,2,3,5,10,Winter
1988,CAN,3,,2,5,Winter
1988,FIN,5,4,9,18,Winter
1988,FRA,1,1,,2,Winter
1988,FRG,2,2,4,8,Winter
1988,GDR,6,9,13,28,Winter
1988,ITA,2,2,1,5,Winter
1988,JPN,1,,,1,Winter
1988,LIE,1,,,1,Winter
1988,NED,2,3,2,7,Winter
1988,NOR,2,,6,8,Winter
1988,SUI,5,8,5,18,Winter
1988,SWE,10,4,,14,Winter
1988,TCH,2,,1,3,Winter
1988,URS,12,23,9,44,Winter
1988,USA,3,2,1,6,Winter
1988,YUG,1,,2,3,Winter
1992,AUT,8,6,7,21,Winter
1992,CAN,3,2,12,17,Winter
1992,CHN,,,3,3,Winter
1992,ESP,1,,,1,Winter
1992,EUN,8,12,9,29,Winter
1992,FIN,3,3,1,7,Winter
1992,FRA,1,3,5,9,Winter
1992,GER,7,14,12,33,Winter
1992,ITA,8,4,6,18,Winter
1992,JPN,4,1,2,7,Winter
1992,KOR,1,2,1,4,Winter
1992,LUX,,,2,2,Winter
1992,NED,2,1,1,4,Winter
1992,NOR,5,9,9,23,Winter
1992,NZL,,,1,1,Winter
1992,PRK,1,,,1,Winter
1992,SUI,2,2,,4,Winter
1992,SWE,6,1,,7,Winter
1992,TCH,3,,,3,Winter
1992,USA,2,5,4,11,Winter
1994,AUS,1,,,1,Winter
1994,AUT,4,2,3,9,Winter
1994,BLR,,,2,2,Winter
1994,CAN,5,3,6,14,Winter
1994,CHN,2,,1,3,Winter
1994,FIN,14,,1,15,Winter
1994,FRA,7,,1,8,Winter
1994,GBR,3,,,3,Winter
1994,GER,8,9,7,24,Winter
1994,ITA,12,7,5,24,Winter
1994,JPN,2,1,2,5,Winter
1994,KAZ,,1,2,3,Winter
1994,KOR,1,4,1,6,Winter
1994,NED,3,,1,4,Winter
1994,NOR,5,10,14,29,Winter
1994,RUS,4,17,11,32,Winter
1994,SLO,3,,,3,Winter
1994,SUI,2,3,5,10,Winter
1994,SWE,,2,1,3,Winter
1994,UKR,1,1,,2,Winter
1994,USA,2,6,5,13,Winter
1994,UZB,,1,,1,Winter
1998,AUS,1,,,1,Winter
1998,AUT,9,3,5,17,Winter
1998,BEL,1,,,1,Winter
1998,BLR,2,,,2,Winter
1998,BUL,,1,,1,Winter
1998,CAN,4,7,5,16,Winter
1998,CHN,2,,6,8,Winter
1998,CZE,1,1,1,3,Winter
1998,DEN,,,1,1,Winter
1998,FIN,14,2,4,20,Winter
1998,FRA,5,2,1,8,Winter
1998,GBR,4,,,4,Winter
1998,GER,9,16,9,34,Winter
1998,ITA,5,3,6,14,Winter
1998,JPN,4,5,1,10,Winter
1998,KAZ,2,,,2,Winter
1998,KOR,2,3,1,6,Winter
1998,NED,2,5,4,11,Winter
1998,NOR,5,10,13,28,Winter
1998,RUS,6,12,16,34,Winter
1998,SUI,3,2,2,7,Winter
1998,SWE,1,,2,3,Winter
1998,UKR,,,1,1,Winter
1998,USA,4,6,3,13,Winter
2002,AUS,,2,,2,Winter
2002,AUT,10,3,4,17,Winter
2002,BLR,1,,,1,Winter
2002,BUL,2,,1,3,Winter
2002,CAN,7,14,3,24,Winter
2002,CHN,4,2,2,8,Winter
2002,CRO,,3,1,4,Winter
2002,CZE,,1,2,3,Winter
2002,EST,1,1,1,3,Winter
2002,FIN,1,4,2,7,Winter
2002,FRA,2,4,5,11,Winter
2002,GBR,1,1,,2,Winter
2002,GER,8,12,16,36,Winter
2002,ITA,5,4,4,13,Winter
2002,JPN,1,,1,2,Winter
2002,KOR,,2,2,4,Winter
2002,NED,,3,5,8,Winter
2002,NOR,7,16,11,34,Winter
2002,POL,1,,1,2,Winter
2002,RUS,4,6,4,14,Winter
2002,SLO,1,,,1,Winter
2002,SUI,10,3,3,16,Winter
2002,SWE,13,,2,15,Winter
2002,USA,11,11,21,43,Winter
2006,AUS,1,1,,2,Winter
2006,AUT,7,9,7,23,Winter
2006,BLR,,,1,1,Winter
2006,BUL,,,1,1,Winter
2006,CAN,7,7,11,25,Winter
2006,CHN,5,2,4,11,Winter
2006,CRO,,1,2,3,Winter
2006,CZE,1,1,2,4,Winter
2006,EST,,3,,3,Winter
2006,FIN,3,,6,9,Winter
2006,FRA,7,3,2,12,Winter
2006,GBR,,,1,1,Winter
2006,GER,6,15,15,36,Winter
2006,ITA,9,5,,14,Winter
2006,JPN,,1,,1,Winter
2006,KOR,2,6,3,11,Winter
2006,LAT,1,,,1,Winter
2006,NED,4,3,2,9,Winter
2006,NOR,9,2,8,19,Winter
2006,POL,1,,1,2,Winter
2006,RUS,8,11,9,28,Winter
2006,SUI,6,5,4,15,Winter
2006,SVK,,,1,1,Winter
2006,SWE,5,15,10,30,Winter
2006,UKR,2,,,2,Winter
2006,USA,15,9,9,33,Winter
